record_id|employer|occupation
4010620251126101590|CROMWELL'S INC|RESTAURATEUR
4010620251126103953|RETIRED|RETIRED
4010620251126107579|MASTERCARD|LEAD SOFTWARE ENGINEER
4010620251126108664|NOT EMPLOYED|NOT EMPLOYED
4010620251126109903|SJU|PROFESSOR
4010620251126110056|NOT EMPLOYED|NOT EMPLOYED
4010620251126110349|STATE FARM INSURANCE|PROPERTY CLAIMS
4010620251126111116|NOT EMPLOYED|NOT EMPLOYED
4010620251126116117|RETIRED|RETIRED
4010620251126116377|NOT EMPLOYED|NOT EMPLOYED
4010620251126116917|NOT EMPLOYED|NOT EMPLOYED
4010620251126117600|RETIRED|COUNSELOR
4010620251126121340|NOT EMPLOYED|NOT EMPLOYED
4010620251126121837|NOT EMPLOYED|NOT EMPLOYED
4010620251126122189|PA STATE DEMOCRATIC CAUCUS|CONSTITUENT SERVICES ADVISOR
4010620251126122230|NOT EMPLOYED|NOT EMPLOYED
4010620251126123021|NOT EMPLOYED|NOT EMPLOYED
4010620251126125571|JEFFERSON|PHYSICIAN
4010620251126126297|NOT EMPLOYED|NOT EMPLOYED
4010620251126126476|NOT EMPLOYED|NOT EMPLOYED
4010620251126129801|TEMPLE UNIVERSITY|RESEARCH ASSISTANT PROFESSOR
4010620251126133673|GOOGLE LLC|SITE RELIABILITY ENGINEER
4010620251126136537|NOT EMPLOYED|NOT EMPLOYED
4010620251126137259|SHIPPING ASSOCIATION OF NY AND NJ|SENIOR MANAGER OF IT
4010620251126140441|NOT EMPLOYED|NOT EMPLOYED
4010620251126140924|NOT EMPLOYED|NOT EMPLOYED
4010620251126142371|MERCK & CO. INC.|FINANCE
4010620251126150153|RETIRED|RETIRED
4010620251126159346|WOMENS HEALTH CTR HERSHEY MED CTR|PHYSICIAN
4010620251126159476|COVESTRO LLC|HEAD OF HEALTHCARE
4010620251126159500|COVESTRO LLC|SR CREDIT ANALYST
4010620251126159516|COVESTRO LLC|ADVANCED PROC ENGRG
4010620251126159520|COVESTRO LLC|REGIONAL ADVOCACY MANAGER
4010620251126159536|COVESTRO LLC|CONTROLLER, PERFORMANCE MATERIALS NORT
4010620251126164945|RETIRED|RETIRED
4010620251126164946|RETIRED|RETIRED
4010620251126170807|NOT EMPLOYED|NOT EMPLOYED
4010620251126173414|NOT EMPLOYED|NOT EMPLOYED
4010620251126176586|WEATHERBY HEALTH|PHYSICIAN
4010620251126176612|NOT EMPLOYED|NOT EMPLOYED
4010620251126688319|AIR PRODUCTS AND CHEMICALS, INC.|SR RESEARCH ASSOC
4010620251126688320|AIR PRODUCTS AND CHEMICALS, INC.|DIR OPERATIONAL EXCELLENCE
4010620251126688846|RADIAN GUARANTY INC.|VP, BUSINESS TRANSFORMATION
4010620251126689612|RETIRED|RETIRED
4010620251126691283|RETIRED|RETIRED
4010620251126691354||
4010620251126692639|RETIRED|RETIRED
4010620251126692954|RETIRED|RETIRED
4010620251126693475||
4010620251126693734|SELF-EMPLOYED|AUCTIONEER
4010620251126693837|RETIRED|RETIRED
4010620251126695508|EASTON AREA PUBLIC LIBRARY|BUSINESS MANAGER
4010620251126695623|RETIRED|RETIRED
4010620251126695741|HOMEMAKER|HOMEMAKER
4010620251126695939|RETIRED|RETIRED
4010620251126696443|RETIRED|RETIRED
4010620251126697011|RETIRED|RETIRED
4010620251126698368|RETIRED|RETIRED
4010620251126698551|RETIRED|RETIRED
4010620251126698791|MELARD COACH|MOTOR COACH DRIVER
4010620251126699312|RETIRED|RETIRED
4010620251126699350|RETIRED|RETIRED
4010620251126700714|RETIRED|RETIRED
4010620251126702242|DISABLED|DISABLED
4010620251126702243|DISABLED|DISABLED
4010620251126704273|RETIRED|RETIRED
4010620251126704581|RETIRED|RETIRED
4010620251126705395|RETIRED|RETIRED
4010620251126705850|RETIRED|RETIRED
4010620251126706500|RETIRED|RETIRED
4010620251126706904|RETIRED|RETIRED
4010620251126709782|RETIRED|RETIRED
4010620251126709801|RETIRED|RETIRED
4010620251126709916|RETIRED|RETIRED
4010620251126710478|RETIRED|RETIRED
4010620251126711866|SELF EMPLOYED|PIANO TEACHER
4010620251126712121|RETIRED|RETIRED
4010620251126712538|RETIRED|RETIRED
4010620251126714032|RETIRED|RETIRED
4010620251126714814|RETIRED|RETIRED
4010620251126716728|HH ROSEWOOD RE|BROKER
4010620251126717986|RETIRED|RETIRED
4010620251126720219|RETIRED|RETIRED
4010620251126720960|RETIRED|RETIRED
4010620251126721714|SOLID STEEL BUILDINGS|CEO
4010620251126722439|CLEVELAND CLIFFS|1AISLE DISPATCHER
4010620251126722598|RETIRED|RETIRED
4010620251126722759|RETIRED|RETIRED
4010620251126722761|RETIRED|RETIRED
4010620251126725535|WAL MART|MANAGER
4010620251126726406|SELF EMPLOYED|SALES
4010620251126727219|RETIRED|RETIRED
4010620251126727230|RETIRED|RETIRED
4010620251126729080|RETIRED|RETIRED
4010620251126729183|RETIRED|RETIRED
4010620251126730611|RETIRED|RETIRED
4010620251126733476|RETIRED|RETIRED
4010620251126734473|RETIRED|RETIRED
4010620251126734668|HNL LABORATORY|PHYSICIAN
4010620251126735727|SOUTH WILLIAMS SPOTS|MAINTENCE TECH
4010620251126736543|RETIRED|RETIRED
4010620251126737330|HOLLYFRONTIER|ENGINEER
4010620251126738886|RETIRED|RETIRED
4010620251126738887|RETIRED|RETIRED
4010620251126739263||
4010620251126740810|RETIRED|RETIRED
4010620251126741962|SELF-EMPLOYED|SCHOOLBUS CONTRACTOR
4010620251126742749|RETIRED|RETIRED
4010620251126744055|RETIRED|RETIRED
4010620251126748787|RETIRED|RETIRED
4010620251126749259|J&D BROTHERS INC|REAL ESTATE MANAGEMENT
4010620251126749591|RETIRED|RETIRED
4010620251126750090|RETIRED|RETIRED
4010620251126750223|RETIRED|RETIRED
4010620251126750250|RETIRED|RETIRED
4010620251126751034|RETIRED|RETIRED
4010620251126751413|RETIRED|RETIRED
4010620251126751773|RETIRED|RETIRED
4010620251126752165|RETIRED|RETIRED
4010620251126752766|RETIRED|RETIRED
4010620251126752879|HNL LABORATORY|PHYSICIAN
4010620251126753158|RETIRED|RETIRED
4010620251126753388|RETIRED|RETIRED
4010620251126753635|RETIRED|RETIRED
4010620251126753636|RETIRED|RETIRED
4010620251126755019|RETIRED|RETIRED
4010620251126755734|STATE FARM|CLAIMS SPECIALIST
4010620251126756376|RETIRED|RETIRED
4010620251126756466|RETIRED|RETIRED
4010620251126757158|RETIRED|RETIRED
4010620251126757183|RETIRED|RETIRED
4010620251126757867|RETIRED|RETIRED
4010620251126757958|SHARKEY SHINES LLC|CLEANER
4010620251126761276|RETIRED|RETIRED
4010620251126761369|RETIRED|RETIRED
4010620251126761746|MORGANLEWIS|COMPUTER ANALYST
4010620251126761983|RETIRED|RETIRED
4010620251126763076|RETIRED|RETIRED
4010620251126765066|RETIRED|RETIRED
4010620251126765987|RETIRED|RETIRED
4010620251126766026|RETIRED|RETIRED
4010620251126766238|RETIRED|RETIRED
4010620251126766264|BANK POLICY INSTITUTE|ECONOMIST
4010620251126766581|RETIRED|RETIRED
4010620251126768023|CBRE|PROJECT MANAGER
4010620251126768024|CBRE|PROJECT MANAGER
4010620251126768495|RETIRED|RETIRED
4010620251126768689|HOMEMAKER|HOMEMAKER
4010620251126768739|LERCH EXCAVATING|SELF EMPLOYED
4010620251126769063|MELARD COACH|MOTOR COACH DRIVER
4010620251126770399|RETIRED|RETIRED
4010620251126770436|RETIRED|RETIRED
4010620251126770608|HNL LABORATORY|PHYSICIAN
4010620251126772800|RETIRED|RETIRED
4010620251126774254|RETIRED|RETIRED
4010620251126775178||PHYSICIAN
4010620251126776021|SELF-EMPLOYED|MANAGING MEMBER
4010620251126776668|HNL LABORATORY|PHYSICIAN
4010620251126776669|HNL LABORATORY|PHYSICIAN
4010620251126778339|RETIRED|RETIRED
4010620251126778637|GOVERNOR MIFFLIN SCHOOL|5TH GRADE TEACHER
4010620251126778693|RETIRED|RETIRED
4010620251126780352|RETIRED|RETIRED
4010620251126780357|RETIRED|RETIRED
4010620251126781445|RETIRED|RETIRED
4010620251126781473|RETIRED|RETIRED
4010620251126781595|RETIRED|RETIRED
4010620251126782198|RETIRED|RETIRED
4010620251126782199|RETIRED|RETIRED
4010620251126782769|DELOITTE|CONSULTANT
4010620251126785007|LUTRON|ENGINEER
4010620251126787909|RETIRED|RETIRED
4010620251126788123|RETIRED|RETIRED
4010620251126788140|RETIRED|RETIRED
4010620251126788310|RETIRED|RETIRED
4010620251126788660|RETIRED|RETIRED
4010620251126789126|RETIRED|RETIRED
4010620251126789128|RETIRED|RETIRED
4010620251126789279|DELMARVA POWER|TROUBLEMAN
4010620251126789568|RETIRED|RETIRED
4010620251126791054|RETIRED|RETIRED
4010620251126794093|RETIRED|RETIRED
4010620251126794200|RETIRED|RETIRED
4010620251126795621|RETIRED|RETIRED
4010620251126795880|RETIRED|RETIRED
4010620251126796917|SELF EMPLOYED|DELI
4010620251126797443|RETIRED|RETIRED
4010620251126797779|RETIRED|RETIRED
4010620251126798164|RETIRED|RETIRED
4010620251126798563|RETIRED|RETIRED
4010620251126798637|RETIRED|RETIRED
4010620251126799666|RETIRED|RETIRED
4010620251126800159|RETIRED|RETIRED
4010620251126800184|RETIRED|RETIRED
4010620251126800326|RETIRED|RETIRED
4010620251126800470|RETIRED|RETIRED
4010620251126801663|HOMEMAKER|HOMEMAKER
4010620251126802168|RETIRED|RETIRED
4010620251126803536|RETIRED|RETIRED
4010620251126804184|BODY BORNEMAN|SALES
4010620251126804319|SCI FAYETTE|PHYSICIAN ASSISTANT
4010620251126804702|SELF-EMPLOYED|ARBORIST
4010620251126805889|RETIRED|RETIRED
4010620251126806486|RETIRED|RETIRED
4010620251126806860|PRO SOLUTIONS|ENGINEER
4010620251126808775|PRODUCE JUNCTION INC|DRAVER
4010620251126810470|FASCO AMERICA|SALES REPRESENTATIVE
4010620251126810735|RETIRED|RETIRED
4010620251126810879|SELF|ATTORNEY
4010620251126813245|RETIRED|RETIRED
4010620251126813860|RETIRED|RETIRED
4010620251126814408|GREENCASTLE LIVESTOCK MARKET INC|OWNER
4010620251126814460|RETIRED|RETIRED
4010620251126814491|GRAREOME NORTHERN COUNTY HOME|BOILER OPERATOR
4010620251126815559|RETIRED|RETIRED
4010620251126817353|RETIRED|RETIRED
4010620251126818547|DANIELLE DUPUIS|BUSINESS OWNER
4010620251126819194|RETIRED|RETIRED
4010620251126821284|RETIRED|RETIRED
4010620251126821551|SELF|PATHOLOGIST
4010620251126822403|TOTAL TURF GOLF SERVICES|CEO
4010620251126824452|RETIRED|RETIRED
4010620251126824710|SELF-EMPLOYED|PHYSICIAN
4010620251126824964|RETIRED|RETIRED
4010620251126826456|UNEMPLOYED|TECHNICAL
4010620251126826841|HNL LABORATORY|PHYSICIAN
4010620251126827090|RETIRED|RETIRED
4010620251126827719|RETIRED|RETIRED
4010620251126830340|RETIRED|RETIRED
4010620251126831339|RETIRED|RETIRED
4010620251126831666|RETIRED|RETIRED
4010620251126831882|RETIRED|RETIRED
4010620251126832608|RETIRED|RETIRED
4010620251126833760|TESLA REALTY|REALTOR
4010620251126836758|RETIRED|RETIRED
4010620251126836834|ADHESIVES RESEARCH|ADVISOR/DIRECTOR
4010620251126839398|RETIRED|RETIRED
4010620251126843725|RETIRED|RETIRED
4010620251126845209|RETIRED|RETIRED
4010620251126846034|RETIRED|RETIRED
4010620251126846320|RETIRED|RETIRED
4010620251126846527|SMART PARK INC.|BUSINESS OWNER
4010620251126846942|RETIRED|RETIRED
4010620251126847502|RETIRED|RETIRED
4010620251126848437|FRANKLIN COUNTY PA|COUNTY COMMISSIONER
4010620251126848592|RETIRED|RETIRED
4010620251126849719|RETIRED|RETIRED
